Timestamp,Container,CPU Usage,Memory Usage
2023-11-30 3:08,Visualizer,524.14%,1.302GiB
2023-11-30 3:08,EVAM Cam 1,18.18%,38.59
2023-11-30 3:08,EVAM Cam 2,13.36%,77.09
2023-11-30 3:18,Visualizer,540.08%,1.286GiB
2023-11-30 3:18,EVAM Cam 1,19.07%,38.64
2023-11-30 3:18,EVAM Cam 2,13.67%,77.27
2023-11-30 3:28,Visualizer,526.19%,1.286GiB
2023-11-30 3:28,EVAM Cam 1,20.65%,38.76
2023-11-30 3:28,EVAM Cam 2,13.16%,77.07
2023-11-30 3:38,Visualizer,518.66%,1.286GiB
2023-11-30 3:38,EVAM Cam 1,20.61%,38.63
2023-11-30 3:38,EVAM Cam 2,13.69%,77.27
2023-11-30 3:48,Visualizer,528.43%,1.286GiB
2023-11-30 3:48,EVAM Cam 1,19.94%,38.47
2023-11-30 3:48,EVAM Cam 2,12.61%,77.25
2023-11-30 3:58,Visualizer,534.39%,1.286GiB
2023-11-30 3:58,EVAM Cam 1,18.83%,38.68
2023-11-30 3:58,EVAM Cam 2,14.08%,77.21
2023-11-30 4:08,Visualizer,526.61%,1.294GiB
2023-11-30 4:08,EVAM Cam 1,18.35%,38.59
2023-11-30 4:08,EVAM Cam 2,13.52%,77.25
2023-11-30 4:19,Visualizer,534.97%,1.286GiB
2023-11-30 4:19,EVAM Cam 1,17.94%,38.79
2023-11-30 4:19,EVAM Cam 2,14.30%,77.08
2023-11-30 4:29,Visualizer,526.24%,1.286GiB
2023-11-30 4:29,EVAM Cam 1,15.72%,38.79
2023-11-30 4:29,EVAM Cam 2,14.64%,77.21
2023-11-30 4:39,Visualizer,527.66%,1.286GiB
2023-11-30 4:39,EVAM Cam 1,17.64%,38.6
2023-11-30 4:39,EVAM Cam 2,13.48%,77.07
2023-11-30 4:49,Visualizer,527.73%,1.286GiB
2023-11-30 4:49,EVAM Cam 1,16.49%,38.63
2023-11-30 4:49,EVAM Cam 2,13.90%,77.27
2023-11-30 4:59,Visualizer,526.02%,1.286GiB
2023-11-30 4:59,EVAM Cam 1,17.02%,38.61
2023-11-30 4:59,EVAM Cam 2,13.06%,77.25
2023-11-30 5:09,Visualizer,526.14%,1.286GiB
2023-11-30 5:09,EVAM Cam 1,19.47%,38.55
2023-11-30 5:09,EVAM Cam 2,13.22%,77.22
2023-11-30 5:19,Visualizer,528.47%,1.286GiB
2023-11-30 5:19,EVAM Cam 1,19.64%,38.58
2023-11-30 5:19,EVAM Cam 2,13.33%,77.18
2023-11-30 5:29,Visualizer,528.42%,1.286GiB
2023-11-30 5:29,EVAM Cam 1,20.53%,38.58
2023-11-30 5:29,EVAM Cam 2,13.02%,77.18
2023-11-30 5:39,Visualizer,528.32%,1.286GiB
2023-11-30 5:39,EVAM Cam 1,19.85%,47.14
2023-11-30 5:39,EVAM Cam 2,13.21%,77.05
2023-11-30 5:49,Visualizer,530.83%,1.303GiB
2023-11-30 5:49,EVAM Cam 1,18.20%,38.58
2023-11-30 5:49,EVAM Cam 2,13.94%,77.23
2023-11-30 6:00,Visualizer,522.85%,1.298GiB
2023-11-30 6:00,EVAM Cam 1,18.01%,38.43
2023-11-30 6:00,EVAM Cam 2,13.84%,77.24
2023-11-30 6:10,Visualizer,526.79%,1.302GiB
2023-11-30 6:10,EVAM Cam 1,20.12%,47.03
2023-11-30 6:10,EVAM Cam 2,15.04%,77.36
2023-11-30 6:20,Visualizer,613.36%,1.277GiB
2023-11-30 6:20,EVAM Cam 1,23.78%,40.01
2023-11-30 6:20,EVAM Cam 2,15.00%,77.11
2023-11-30 6:30,Visualizer,652.17%,1.309GiB
2023-11-30 6:30,EVAM Cam 1,26.53%,46.88
2023-11-30 6:30,EVAM Cam 2,17.39%,77.98
2023-11-30 6:40,Visualizer,704.14%,1.346GiB
2023-11-30 6:40,EVAM Cam 1,26.65%,40.68
2023-11-30 6:40,EVAM Cam 2,17.55%,77.84
2023-11-30 6:50,Visualizer,701.89%,1.356GiB
2023-11-30 6:50,EVAM Cam 1,24.96%,45.71
2023-11-30 6:50,EVAM Cam 2,17.71%,77.7
2023-11-30 7:00,Visualizer,636.05%,1.382GiB
2023-11-30 7:00,EVAM Cam 1,24.69%,52.13
2023-11-30 7:00,EVAM Cam 2,17.91%,77.46
2023-11-30 7:10,Visualizer,674.61%,1.32GiB
2023-11-30 7:10,EVAM Cam 1,24.11%,40.52
2023-11-30 7:10,EVAM Cam 2,16.10%,77.05
2023-11-30 7:20,Visualizer,682.47%,1.385GiB
2023-11-30 7:20,EVAM Cam 1,26.81%,40.43
2023-11-30 7:20,EVAM Cam 2,18.53%,77.68
2023-11-30 7:31,Visualizer,701.34%,1.372GiB
2023-11-30 7:31,EVAM Cam 1,24.75%,73.22
2023-11-30 7:31,EVAM Cam 2,17.58%,77.81
2023-11-30 7:41,Visualizer,717.85%,1.388GiB
2023-11-30 7:41,EVAM Cam 1,25.16%,51.79
2023-11-30 7:41,EVAM Cam 2,17.49%,77.68
2023-11-30 7:51,Visualizer,703.55%,1.306GiB
2023-11-30 7:51,EVAM Cam 1,24.82%,40.35
2023-11-30 7:51,EVAM Cam 2,17.39%,77.17
2023-11-30 8:01,Visualizer,689.71%,1.405GiB
